name,brand,family,release_date,influences,innovation_category,innovation_summary
SMILES Transformer,Aalto University (SMILES Transformer),SMILES Transformer,2019-06-17,,Contextual SMILES Encoding,Introduced transformer encoders over SMILES strings with transfer learning for molecular property prediction.
MolBERT,BenevolentAI (MolBERT),MolBERT,2020-03-02,SMILES Transformer,Domain-adaptive Pretraining,Performed masked LM pretraining on curated chemical corpora with chemically aware tokenisation.
ChemBERTa,Hugging Face (ChemBERTa),ChemBERTa,2020-07-21,MolBERT,Open Benchmarking,Released open-source RoBERTa models on PubChem SMILES with standard fine-tuning recipes.
MegaMolBART,Schrödinger (MegaMolBART),MegaMolBART,2020-10-15,ChemBERTa,Seq2Seq Molecular Generation,Adopted BART denoising objectives for conditional molecular generation and optimisation.
MolGPT,Microsoft Research (MolGPT),MolGPT,2021-03-29,ChemBERTa,Autoregressive Design,Applied GPT-style autoregressive decoding conditioned on property descriptors for de novo molecule synthesis.
GeoMol,OATML (GeoMol),GeoMol,2021-07-02,MolGPT,Geometry-aware Representations,Combined graph neural networks with autoregressive decoding to respect 3D conformational constraints during generation.
Chemformer,AstraZeneca (Chemformer),Chemformer,2021-12-13,MegaMolBART,Multi-objective Finetuning,Unified reaction prediction and molecular optimisation with multitask sequence-to-sequence transfer learning.
ChemGPT,IBM Research (ChemGPT),ChemGPT,2022-12-08,MolGPT,Large-scale Chemical LM,Scaled autoregressive SMILES transformers to billion-parameter regimes with retrieval-augmented sampling.
MolMIM,MIT-IBM Watson AI Lab (MolMIM),MolMIM,2023-03-28,Chemformer,Goal-directed Molecular Design,Blended masked infilling with reinforcement learning to steer molecules toward multi-property targets using expert feedback.
DrugGPT,University of Toronto (DrugGPT),DrugGPT,2023-05-11,ChemGPT,Interactive Design Assistant,Integrated reinforcement learning with human-in-the-loop molecule editing for rapid lead discovery workflows.
ChemLLaMA,Basel University (ChemLLaMA),ChemLLaMA,2024-02-12,ChemGPT,Instruction-tuned Chemical LM,Instruction-tuned a general chemical language model on laboratory protocols to support synthesis planning and property reasoning.
SynMoGEN,MIT SynBio Center (SynMoGEN),SynMoGEN,2024-04-09,Chemformer; DrugGPT,Synthesis-aware Generation,Incorporated retrosynthesis constraints and lab automation feedback to propose synthesizable molecules.
